[2016-01-05 02:30:40,479] Autoscaler health stat event receiver thread started
[2016-01-05 02:35:28,060] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-8
[2016-01-05 02:35:28,061] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-8
[2016-01-05 02:35:28,060] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis.php.php.domain
[2016-01-05 02:35:28,062] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.php.php.domain Obsolete member count: 0
[2016-01-05 02:35:28,063] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.mysql.mysql.domain Non terminated member count: 0
[2016-01-05 02:35:28,063] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-05 02:35:28,063] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.mysql.mysql.domain Minimum member count: 1
[2016-01-05 02:35:28,063] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.php.php.domain Pending termination member count: 0
[2016-01-05 02:35:28,065] [min-check] true [non terminated member count] 0 [cluster] rubis.mysql.mysql.domain
[2016-01-05 02:35:28,069] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.php.php.domain Non terminated member count: 0
[2016-01-05 02:35:28,069] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.php.php.domain Minimum member count: 1
[2016-01-05 02:35:28,070] Scaling decision publisher is not enabled
[2016-01-05 02:35:28,070] [min-check] true [non terminated member count] 0 [cluster] rubis.php.php.domain
[2016-01-05 02:35:28,070] Scaling decision publisher is not enabled
[2016-01-05 02:35:28,070] [min-check] Partition available, hence trying to spawn an instance to fulfil minimum count! [cluster] rubis.mysql.mysql.domain
[2016-01-05 02:35:28,070] [min-check] Partition available, hence trying to spawn an instance to fulfil minimum count! [cluster] rubis.php.php.domain
[2016-01-05 02:35:28,071] [min-check]  [partition] rubis-partition [cluster] rubis.mysql.mysql.domain
[2016-01-05 02:35:28,072] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis.mysql.mysql.domain
[2016-01-05 02:35:28,075] [min-check]  [partition] rubis-partition [cluster] rubis.php.php.domain
[2016-01-05 02:35:28,078] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.mysql.mysql.domain Obsolete member count: 0
[2016-01-05 02:35:28,078] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-05 02:35:28,078] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.mysql.mysql.domain Pending termination member count: 0
[2016-01-05 02:35:39,179] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-8
[2016-01-05 02:35:39,184] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.php.php.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-05 02:35:44,358] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-8
[2016-01-05 02:35:44,358] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.mysql.mysql.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-05 02:36:58,028] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis.php.php.domain
[2016-01-05 02:36:58,028] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-8
[2016-01-05 02:36:58,031] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.php.php.domain Non terminated member count: 1
[2016-01-05 02:36:58,031] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.php.php.domain Minimum member count: 1
[2016-01-05 02:36:58,033] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-8
[2016-01-05 02:36:58,033] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.php.php.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-05 02:36:58,034] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.php.php.domain Obsolete member count: 0
[2016-01-05 02:36:58,034] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-05 02:36:58,034] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.php.php.domain Pending termination member count: 0
[2016-01-05 02:36:58,063] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis.mysql.mysql.domain
[2016-01-05 02:36:58,067] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.mysql.mysql.domain Obsolete member count: 0
[2016-01-05 02:36:58,067] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-8
[2016-01-05 02:36:58,067] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-05 02:36:58,068] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.mysql.mysql.domain Non terminated member count: 1
[2016-01-05 02:36:58,068] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis.mysql.mysql.domain Pending termination member count: 0
[2016-01-05 02:36:58,068] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-8 [cluster] rubis.mysql.mysql.domain Minimum member count: 1
[2016-01-05 02:36:58,068] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-8
