[2016-01-06 11:56:19,293] Autoscaler health stat event receiver thread started
[2016-01-06 11:56:56,426] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:56:56,469] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:56:56,483] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:57:01,695] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:57:01,994] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:57:02,041] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:57:10,673] A cluster monitor is not found in autoscaler context [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:57:10,677] A cluster monitor is not found in autoscaler context [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:57:10,678] A cluster monitor is not found in autoscaler context [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:57:43,814] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:57:43,814] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 11:57:43,821] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-06 11:57:43,821] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-06 11:57:43,822] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-06 11:57:43,823] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 0
[2016-01-06 11:57:43,823] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-06 11:57:43,825] [min-check] true [non terminated member count] 0 [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:57:43,829] Scaling decision publisher is not enabled
[2016-01-06 11:57:43,830] [min-check] Partition available, hence trying to spawn an instance to fulfil minimum count! [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:57:43,830] [min-check]  [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:57:54,641] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 11:57:54,643] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-06 11:57:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:57:56,468] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:57:56,483] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:58:01,694] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:58:01,999] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:58:02,042] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:58:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:58:56,468] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:58:56,483] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:59:01,696] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:59:01,998] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 11:59:02,046] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
