[2016-01-07 05:23:19,564] Autoscaler health stat event receiver thread started
[2016-01-07 05:29:37,382] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:29:37,386] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:29:37,388] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 0
[2016-01-07 05:29:37,388] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:29:37,388] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:29:37,388] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:29:37,389] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:29:37,390] [min-check] true [non terminated member count] 0 [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:29:37,395] Scaling decision publisher is not enabled
[2016-01-07 05:29:37,395] [min-check] Partition available, hence trying to spawn an instance to fulfil minimum count! [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:29:37,396] [min-check]  [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:29:48,007] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:29:48,009] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-07 05:31:07,365] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:31:07,365] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:31:07,367] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:31:07,367] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:31:07,367] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:31:07,368] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:31:07,368] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:31:07,369] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:31:07,369] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-07 05:32:37,367] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:32:37,367] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:32:37,367] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:32:37,368] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:32:37,368] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:32:37,368] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:32:37,368] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:32:37,368] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:32:37,369] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-07 05:34:07,367] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:34:07,368] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:34:07,370] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:34:07,370] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:34:07,370] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
