Time,Total Cost
0.000,0.000
1.000,0.000
2.000,24.000
3.000,24.000
4.000,24.000
5.000,24.000
6.000,24.000
7.000,24.000
8.000,24.000
9.000,24.000
10.000,24.000
11.000,24.000
12.000,24.000
13.000,24.000
14.000,24.000
15.000,24.000
16.000,24.000
17.000,24.000
18.000,24.000
19.000,24.000
20.000,24.000
21.000,24.000
22.000,24.000
23.000,24.000
24.000,30.000
25.000,30.000
26.000,30.000
27.000,30.000
28.000,30.000
29.000,30.000
30.000,30.000
31.000,30.000
32.000,30.000
33.000,30.000
34.000,30.000
35.000,30.000
36.000,30.000
37.000,30.000
38.000,36.000
39.000,36.000
40.000,42.000
41.000,42.000
42.000,42.000
43.000,42.000
44.000,42.000
45.000,42.000
46.000,42.000
47.000,42.000
48.000,42.000
49.000,42.000
50.000,42.000
51.000,54.000
52.000,54.000
53.000,54.000
54.000,54.000
55.000,54.000
56.000,66.000
57.000,66.000
58.000,66.000
59.000,66.000
60.000,66.000
61.000,66.000
62.000,84.000
63.000,84.000
64.000,84.000
65.000,84.000
66.000,90.000
67.000,90.000
68.000,90.000
69.000,90.000
70.000,90.000
71.000,90.000
72.000,90.000
73.000,90.000
74.000,90.000
75.000,90.000
76.000,96.000
77.000,96.000
78.000,96.000
79.000,96.000
80.000,96.000
81.000,96.000
82.000,96.000
83.000,96.000
84.000,96.000
85.000,96.000
86.000,96.000
87.000,96.000
88.000,96.000
89.000,96.000
90.000,96.000
91.000,96.000
92.000,102.000
93.000,102.000
94.000,102.000
95.000,102.000
96.000,102.000
97.000,102.000
98.000,102.000
99.000,102.000
