A,B
1,0
2,0
3,2.26
4,0.25
5,0.5
6,1
7,1.49
8,1.25
9,0.25
10,1
11,1.25
12,0
13,0.5
14,0.25
15,0.5
16,1
17,0.25
18,23.1
19,28.64
20,28.24
21,29.41
22,68.59
23,58.9
24,55.79
25,55.5
26,55.35
27,47.15
28,2.25
29,0.5
30,0.25
31,1.24
32,0.25
33,0.5
34,0.5
35,0.5
36,1
37,0.5
38,1
39,0.25
40,0.75
41,1
42,0.5
43,0.75
44,0.25
45,0.75
46,1.25
47,2
48,0.75
49,0.5
50,0.25
51,1.75
52,1
53,1
54,1.01
55,2.26
56,1.75
57,0.75
58,0.75
59,1
60,45.29
61,68.41
62,71.39
63,73.58
64,72.8
65,72.94
66,57.47
67,25.38
68,8.59
69,37.89
70,55.97
71,57.11
72,55.67
73,55.94
74,36.01
75,4.51
76,1.26
77,0.5
78,0.75
79,1.25
80,0.76
81,2.75
82,21.68
83,43.57
84,56.28
85,72.49
86,80.72
87,87.63
88,92.19
89,92.58
90,90.5
91,91.5
92,92.17
93,92.25
94,91.39
95,89.49
96,90.66
97,90.63
98,90.08
99,90.95
100,90.5
101,91.12
102,91.35
103,92.73
104,92.8
105,91.75
106,91.77
107,92.05
108,94.74
109,92.91
110,94.24
111,91.18
112,88.56
113,94.16
114,93.94
115,95.04
116,94.75
117,94.96
118,94.46
119,93.95
120,94.19
121,94.06
122,94.03
123,93.15
124,91.14
125,89.03
126,91.25
127,88.49
128,87.01
129,86.05
130,58.84
131,18.67
132,69.51
133,83.85
134,86.84
135,88.14
136,87.82
137,86.47
138,87.82
139,86.58
140,85.75
141,89.15
142,87.5
143,84.65
144,89.49
145,89.9
146,92.13
147,89.42
148,88.4
149,94
150,90.13
151,94.47
152,94.43
153,94.99
154,94.1
155,90.56
156,92.96
157,89.17
158,95.25
159,94.7
160,96.46
161,92.66
162,96.22
163,93.98
164,92
165,97
166,96.53
167,94.43
168,90.15
169,95.96
170,95.97
171,96.02
172,95.43
173,92.95
174,92.13
175,93.48
176,96.49
177,97.02
178,97.74
179,96.74
180,97.02
181,97.03
182,93.7
183,94.99
184,97.23
185,96.5
186,96.96
187,96.51
188,93.2
189,95.25
190,94.53
191,97.49
192,97.77
193,97.76
194,96.26
195,92.79
196,97.74
197,97.52
198,96.75
199,96.74
200,96.05
201,97.49
202,98.25
203,97.24
204,97.99
205,97.49
206,98.01
207,96.75
208,98.5
209,97.99
210,95.98
211,97.02
212,97.47
213,96.98
214,95.41
215,95.44
216,95.77
217,96.23
218,96.76
219,96.98
220,98.49
221,63.39
