A,B
1,45.47
2,45.84
3,45.84
4,45.85
5,45.87
6,45.93
7,46.08
8,46.08
9,46.09
10,46.09
11,46.11
12,46.11
13,46.11
14,46.11
15,46.12
16,46.11
17,46.15
18,46.16
19,46.13
20,46.17
21,46.17
22,46.16
23,46.18
24,46.2
25,46.23
26,46.15
27,46.15
28,46.15
29,46.15
30,46.15
31,46.15
32,46.15
33,46.15
34,46.15
35,46.16
36,46.16
37,46.19
38,46.18
39,46.18
40,46.18
41,46.19
42,46.19
43,46.19
44,46.2
45,46.2
46,46.21
47,46.22
48,46.22
49,46.23
50,46.25
51,46.31
52,46.4
53,46.67
54,47.18
55,47.24
56,47.27
57,47.28
58,47.35
59,47.43
60,47.5
61,47.51
62,47.53
63,47.55
64,47.58
65,47.48
66,47.46
67,47.52
68,47.5
69,47.47
70,47.48
71,47.46
72,47.43
73,47.35
74,47.37
75,47.37
76,47.41
77,47.47
78,47.62
79,47.91
80,48.44
81,49.07
82,49.68
83,50.28
84,50.98
85,51.71
86,51.86
87,52.06
88,52.19
89,52.29
90,52.38
91,52.6
92,52.68
93,52.8
94,52.87
95,52.97
96,53.02
97,53.07
98,53.08
99,53.19
100,53.36
101,53.53
102,53.72
103,53.89
104,54.24
105,54.89
106,55.58
107,56.35
108,57.09
109,57.8
110,58.42
111,58.77
112,58.94
113,59.08
114,59.23
115,59.37
116,59.56
117,59.61
118,59.65
119,59.57
120,59.62
121,59.75
122,59.64
123,59.83
124,59.92
125,60.1
126,60.25
127,60.37
128,60.3
129,60.28
130,60.35
131,60.67
132,60.81
133,60.91
134,61.02
135,61.13
136,61.25
137,61.28
138,61.39
139,61.46
140,61.5
141,61.53
142,61.62
143,61.71
144,61.81
145,61.91
146,62.06
147,62.14
148,62.31
149,62.48
150,62.59
151,62.66
152,62.71
153,62.78
154,62.9
155,62.98
156,63.07
157,63.14
158,63.23
159,63.43
160,63.47
161,63.48
162,63.53
163,63.66
164,63.74
165,63.74
166,63.78
167,63.9
168,63.94
169,63.99
170,64.03
171,64.1
172,64.2
173,64.24
174,64.34
175,64.4
176,64.44
177,64.44
178,64.47
179,64.46
180,64.53
181,64.59
182,64.64
183,64.65
184,64.66
185,64.84
186,64.94
187,64.87
188,64.96
189,64.99
190,64.98
191,64.95
192,64.91
193,64.93
194,64.86
195,64.81
196,64.79
197,64.75
198,64.74
199,64.74
200,64.71
201,64.78
202,64.75
203,64.7
204,64.89
205,64.53
206,64.48
207,64.45
208,64.44
209,64.43
210,64.38
211,64.35
212,64.3
213,64.28
214,64.26
215,64.22
216,64.18
217,64.16
218,64.18
219,64.21
220,64.15
221,55.67
