A,B
1,0
2,2
3,3
4,6
5,8
6,10
7,17
8,8
9,6
10,0
11,0
12,0
13,16
14,27
15,21
16,27
17,32
18,30
19,27
20,25
21,26
22,11
23,9
24,9
25,18
26,27
27,26
28,33
29,29
30,34
31,42
32,61
33,71
34,72
35,75
36,84
37,82
38,80
39,81
40,80
41,62
42,60
43,62
44,60
45,57
46,59
47,59
48,64
49,57
50,57
51,58
52,61
53,62
54,55
55,59
56,53
57,51
58,51
59,51
60,49
61,50
62,61
63,59
64,49
65,50
66,48
67,49
68,53
69,45
70,47
71,49
72,49
73,51
74,49
75,54
76,56
77,51
78,60
79,53
80,57
81,55
82,53
83,53
84,55
85,53
86,52
87,50
88,50
89,50
90,46
91,52
92,47
93,52
94,51
95,53
96,53
97,48
98,49
99,48
100,51
101,52
102,52
103,52
104,52
105,51
106,50
107,60
108,63
109,51
110,51
111,52
112,58
113,54
114,53
115,52
116,60
117,60
118,60
119,60
120,71
121,74
122,71
123,74
124,76
125,80
126,80
127,76
128,76
129,79
130,77
131,77
132,76
133,76
134,79
135,80
136,80
137,80
138,77
139,75
140,75
141,75
142,72
143,69
144,71
145,70
146,73
147,74
148,74
149,77
150,76
151,75
152,75
153,58
154,58
155,59
156,58
157,59
158,58
159,61
160,68
161,65
162,64
163,62
164,62
165,59
166,61
167,61
168,59
169,60
170,60
171,60
172,59
173,57
174,55
175,56
176,56
177,57
178,54
179,57
180,55
181,60
182,60
183,61
184,61
185,56
186,58
187,56
188,54
189,51
190,53
191,48
192,50
193,51
194,54
195,49
196,58
197,55
198,57
199,67
200,56
